group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,MFSD12,4.364806,1.0576651,1.2723555976767136e-05,2.485256612530675e-05
Cluster 1,VPS18,4.3639917,0.9964643,1.2771052489457422e-05,2.4939944398683045e-05
Cluster 1,ZNF695,4.363077,2.559977,1.2824576125484658e-05,2.504175991284623e-05
Cluster 1,PHLDB3,4.362684,1.3760885,1.2847654738115476e-05,2.508411171595732e-05
Cluster 1,SPNS2,4.3603277,0.58287317,1.2986782823276846e-05,2.5350267454624717e-05
Cluster 1,CASP9,4.358122,0.70482457,1.3118335979998286e-05,2.5601525032617423e-05
Cluster 1,C14orf93,4.3570027,1.2073445,1.3185563885936678e-05,2.572994517530198e-05
Cluster 1,LRRC61,4.350422,1.4756488,1.3587581051943011e-05,2.6505837597060264e-05
Cluster 1,ZNF490,4.3470635,1.0456389,1.3797233331534897e-05,2.6906094978494297e-05
Cluster 1,CXorf40A,4.34318,1.0952014,1.404347918516646e-05,2.738038729494018e-05
Cluster 1,EIF3I,4.342396,0.99974674,1.4093731062314205e-05,2.74724304321319e-05
Cluster 1,ZNF589,4.340592,1.4715164,1.4209944493190342e-05,2.7695971684622905e-05
Cluster 1,FSD1L,4.3377295,1.0220282,1.4396217087091924e-05,2.805599915375631e-05
Cluster 1,CISD1,4.3335466,0.47426283,1.4672610625130144e-05,2.8591561742592005e-05
Cluster 1,SP4,4.333408,0.9356758,1.4681874067960794e-05,2.860652588684031e-05
Cluster 1,ZNF432,4.330521,1.2834196,1.487568080521291e-05,2.8981016720307985e-05
Cluster 1,GABRA2,4.3297467,1.3739414,1.4928092779513086e-05,2.9079989149131317e-05
Cluster 1,ZBTB21,4.329443,0.47260782,1.494870618069078e-05,2.9117003150783527e-05
Cluster 1,PLA2G15,4.3278837,0.91133755,1.5054885392678604e-05,2.9320655783109386e-05
Cluster 1,ANKRA2,4.3266435,0.7238562,1.5139882209778753e-05,2.9483014444536257e-05
Cluster 1,PJA1,4.3247504,0.78007495,1.5270457746839983e-05,2.9734087340137632e-05
Cluster 1,MB21D2,4.3240886,0.86379284,1.5316360447952316e-05,2.9820251964325925e-05
Cluster 1,TMSB15B,4.3197575,1.319083,1.5620072964516735e-05,3.0408287795735578e-05
Cluster 1,SULT2B1,4.318123,2.1245944,1.5736172174484454e-05,3.063100109160723e-05
Cluster 1,MCMDC2,4.316559,1.6324259,1.5848042525033562e-05,3.0845435645295974e-05
Cluster 1,OCA2,4.314321,3.0875008,1.6009406779179743e-05,3.1156144802072186e-05
Cluster 1,SLF2,4.310951,0.60880876,1.625536458214566e-05,3.163139801986922e-05
Cluster 1,RAD51,4.3107543,1.8995697,1.6269867438836706e-05,3.165620797441151e-05
Cluster 1,CHST14,4.310316,0.57697815,1.6302119698702543e-05,3.1715543796506194e-05
Cluster 1,TTC9,4.30899,1.2584109,1.6400189795875853e-05,3.18925939407631e-05
