"group","names","p.value","FDR","summary.AUC","AUC.VEGFA.","AUC.Surface.epithelium","AUC.Outer.surface","AUC.Crypt","AUC.FDCSP.epithelium","AUC.Basal.cells"
"Basal cells","ENO1",0.992144253556311,1,0.304824561403509,0.511961722488038,0.550980392156863,0.514619883040936,0.365172667156503,0.304824561403509,NA
"Basal cells","HSP90AA1",0.99563855620765,1,0.304824561403509,0.313397129186603,0.488235294117647,0.444444444444444,0.394562821454813,0.304824561403509,NA
"Basal cells","CCND1",0.997057359740668,1,0.303921568627451,0.334928229665072,0.303921568627451,0.374269005847953,0.337986774430566,0.388157894736842,NA
"Basal cells","ATP5F1A",0.997441214679684,1,0.303921568627451,0.411483253588517,0.303921568627451,0.461988304093567,0.394562821454813,0.421052631578947,NA
"Basal cells","SUMO2",0.998745426522886,1,0.302718589272594,0.535885167464115,0.392156862745098,0.362573099415205,0.302718589272594,0.298245614035088,NA
"Basal cells","COX6B1",0.993920620517004,1,0.302631578947368,0.449760765550239,0.456862745098039,0.327485380116959,0.357090374724467,0.302631578947368,NA
"Basal cells","RPL15",0.999452134632277,1,0.301249081557678,0.782296650717703,0.874509803921569,0.748538011695906,0.301249081557678,0.557017543859649,NA
"Basal cells","ERP29",0.999489591469177,1,0.30051432770022,0.322966507177034,0.341176470588235,0.298245614035088,0.30051432770022,0.271929824561403,NA
"Basal cells","RPL21",0.999091666186718,1,0.299779573842763,0.753588516746411,0.909803921568627,0.760233918128655,0.299779573842763,0.427631578947368,NA
"Basal cells","TUBA1B",0.999340167739265,1,0.299779573842763,0.495215311004785,0.601960784313725,0.426900584795322,0.299779573842763,0.475877192982456,NA
"Basal cells","RPS27A",0.999154437031189,1,0.299044819985305,0.789473684210526,0.909803921568627,0.754385964912281,0.299044819985305,0.390350877192982,NA
"Basal cells","S100A11",0.990169345828002,1,0.298245614035088,0.808612440191388,0.596078431372549,0.637426900584795,0.427626745040411,0.298245614035088,NA
"Basal cells","PTGES3",0.991391760114506,1,0.298245614035088,0.456937799043062,0.405882352941176,0.415204678362573,0.346803820720059,0.298245614035088,NA
"Basal cells","HNRNPC",0.998230205596714,1,0.298039215686275,0.325358851674641,0.298039215686275,0.415204678362573,0.34313005143277,0.344298245614035,NA
