,group,names,scores,logfoldchanges,pvals,pvals_adj
27258,Fibro,CALHM2,18.664625,2.213418,9.604792394382466e-78,2.478918452079081e-76
27259,Fibro,ATF4,18.659805,0.64989907,1.0511512571697405e-77,2.7113187552336538e-76
27260,Fibro,OCIAD1,18.649975,0.6935259,1.2633667298809639e-77,3.2567622872369196e-76
27261,Fibro,TM2D3,18.648645,1.1593696,1.2951834380636343e-77,3.3367934265637033e-76
27262,Fibro,DCTN6,18.636093,1.120585,1.6377217107586635e-77,4.2167680597892014e-76
27263,Fibro,NOTCH2,18.632124,1.7209823,1.763848153743946e-77,4.53881544532375e-76
27264,Fibro,SSB,18.612381,0.6938295,2.5502614009300476e-77,6.546881017500256e-76
27265,Fibro,RNF146,18.608881,1.7078089,2.7224043304924126e-77,6.984653481468441e-76
27266,Fibro,IGDCC4,18.592638,8.350708,3.685887229474304e-77,9.450981698229078e-76
27267,Fibro,FUCA2,18.584017,1.2793884,4.32866019253081e-77,1.1085980500184528e-75
27268,Fibro,ACTG2,18.567337,5.7854247,5.906094387989727e-77,1.5108012842847006e-75
27269,Fibro,ABL1,18.546034,2.1412432,8.779476398533641e-77,2.2444967364520557e-75
27270,Fibro,IL15RA,18.533112,2.4520829,1.1163872361083994e-76,2.852389158987234e-75
27271,Fibro,PDE4DIP,18.51975,1.6686621,1.4309647811125442e-76,3.653983342543548e-75
27272,Fibro,PEA15,18.516144,1.2897921,1.5300969281017537e-76,3.904814577954016e-75
27273,Fibro,NR4A1,18.509583,1.1682706,1.7283229295766602e-76,4.4080891595720097e-75
27274,Fibro,DYNLRB1,18.478956,0.5999855,3.0502105357631915e-76,7.761270570776159e-75
27275,Fibro,G0S2,18.462944,1.5110457,4.103586947844491e-76,1.0429327673317983e-74
27276,Fibro,SOX6,18.45459,4.944746,4.789844583056969e-76,1.2159182008438224e-74
27277,Fibro,VGLL3,18.42124,6.925086,8.874634567848012e-76,2.251535365566223e-74
27278,Fibro,C5orf24,18.42022,1.3098506,9.04354787389843e-76,2.293045337305635e-74
27279,Fibro,TMTC1,18.415615,4.0967064,9.846455229363835e-76,2.4951655458859805e-74
27280,Fibro,FBLIM1,18.399097,1.5033016,1.335726677867025e-75,3.3828509111433925e-74
27281,Fibro,CDC42BPA,18.388542,1.7904594,1.6228371488340283e-75,4.107581138937685e-74
27282,Fibro,KDELR2,18.375187,0.62621903,2.0759017452253098e-75,5.2512670565074145e-74
27283,Fibro,ALDH1A1,18.370703,1.7588456,2.2547660761119067e-75,5.700396337983385e-74
27284,Fibro,WDR83OS,18.36433,0.5612155,2.5355580799338195e-75,6.406539685679835e-74
27285,Fibro,ERCC1,18.325935,1.0814402,5.139011321214633e-75,1.2969486181038587e-73
27286,Fibro,ASPH,18.303381,0.9293107,7.776909620018639e-75,1.961539639706566e-73
27287,Fibro,SNTB2,18.296053,1.4764773,8.896664221313422e-75,2.242664070045938e-73
27288,Fibro,PCMTD1,18.289028,1.1513066,1.0120207282547974e-74,2.5496089150363293e-73
27289,Fibro,TBCA,18.255602,0.5725722,1.867436949986869e-74,4.701943343183925e-73
27290,Fibro,OSBPL1A,18.254465,2.005547,1.9066925799038445e-74,4.797992339732453e-73
27291,Fibro,PYURF,18.228209,0.690874,3.0825157940216874e-74,7.74781931456717e-73
27292,Fibro,RECQL,18.225153,1.4158849,3.2596373788730183e-74,8.188254499848054e-73
27293,Fibro,PGM1,18.214514,1.5114902,3.959205083041815e-74,9.934047211838599e-73
27294,Fibro,EXT2,18.203045,1.9635886,4.881812506682228e-74,1.2241866101635005e-72
27295,Fibro,AFF4,18.196098,1.0981532,5.54180500309492e-74,1.388081042499736e-72
27296,Fibro,NRP1,18.189613,1.7181779,6.237825414210135e-74,1.5615127795132624e-72
27297,Fibro,SLC12A4,18.15959,3.1096268,1.078267352388316e-73,2.6976628639347454e-72
27298,Fibro,HGSNAT,18.150785,1.5217899,1.26578149103362e-73,3.16496559762664e-72
27299,Fibro,MYL12B,18.147793,0.5892605,1.3366507796022384e-73,3.340237820019866e-72
27300,Fibro,EMC2,18.12812,1.3101126,1.911846343613778e-73,4.769367921861183e-72
27301,Fibro,MAP7D3,18.121721,1.965476,2.147733835622991e-73,5.35473593740981e-72
27302,Fibro,EI24,18.11482,0.8191587,2.4346432142856827e-73,6.066564628711165e-72
27303,Fibro,AAMDC,18.102816,1.246786,3.027855027391532e-73,7.540369464646738e-72
27304,Fibro,REEP5,18.089638,0.6634667,3.8460854583421474e-73,9.567027057929013e-72
27305,Fibro,PSMG2,18.08434,0.7457465,4.2341843182615e-73,1.0526362186271927e-71
27306,Fibro,ZNF580,18.082462,1.3471239,4.380749118827984e-73,1.08844766567803e-71
27307,Fibro,H2AFJ,18.050001,0.6375714,7.88885918321261e-73,1.956708327609216e-71
27308,Fibro,NBDY,18.034746,0.81003857,1.0397336907028488e-72,2.575944682369817e-71
27309,Fibro,SPTSSA,18.01489,0.9368707,1.4887659333949568e-72,3.686313908993165e-71
27310,Fibro,RIN2,18.006395,1.8454951,1.7356712875449112e-72,4.292761409572505e-71
27311,Fibro,MUM1,18.000454,1.5281141,1.9323027219520227e-72,4.776352165135776e-71
27312,Fibro,AZI2,17.999647,1.3110327,1.96060828677071e-72,4.843552960502847e-71
27313,Fibro,LGMN,17.99372,0.9841978,2.1820849953268878e-72,5.381481639187371e-71
27314,Fibro,BZW1,17.986387,0.6859432,2.4907782962546487e-72,6.1357920443081215e-71
27315,Fibro,IRS1,17.942972,2.707248,5.446316476928479e-72,1.3393606236046504e-70
27316,Fibro,USP11,17.919945,1.5762296,8.241074195982887e-72,2.0232000757262125e-70
27317,Fibro,HNRNPH3,17.892513,0.78794485,1.3488603428783017e-71,3.302113877853996e-70
27318,Fibro,RAB8B,17.877386,1.2385418,1.769392270832521e-71,4.329159766318439e-70
27319,Fibro,RAB1A,17.863321,0.6676136,2.276770937796139e-71,5.56741241410692e-70
27320,Fibro,SNX21,17.861647,3.0576158,2.346111684560391e-71,5.733732689505526e-70
27321,Fibro,CETN2,17.846869,1.2199891,3.057044074286844e-71,7.466985418921172e-70
27322,Fibro,PHGDH,17.84444,2.1335373,3.192813507865698e-71,7.794210617453082e-70
27323,Fibro,NID2,17.842867,3.6759603,3.284051429583589e-71,8.009152942354882e-70
27324,Fibro,RHEB,17.84286,0.65349954,3.284563207032927e-71,8.009152942354882e-70
